state,expenditure,year,raw,inf_adj,inf_adj_perchild
Massachusetts,othercashserv,1997,1373726.375,1958715.75,1.25894010066986
Michigan,othercashserv,1997,2218318.25,3162969.75,1.16163980960846
Minnesota,othercashserv,1997,1466506.75,2091005.875,1.56847012042999
Mississippi,othercashserv,1997,251208.109375,358182.875,0.436235427856445
Missouri,othercashserv,1997,606903.8125,865348.5,0.57757705450058
Montana,othercashserv,1997,149710.125,213462.875,0.865409910678864
Nebraska,othercashserv,1997,312903.0625,446150.09375,0.938579678535461
Nevada,othercashserv,1997,207516.078125,295885,0.636639058589935
New Hampshire,othercashserv,1997,224181.46875,319647.1875,1.00413775444031
New Jersey,othercashserv,1997,1475296.25,2103538.25,0.988879799842834
New Mexico,othercashserv,1997,227451.375,324309.5625,0.598817825317383
New York,othercashserv,1997,6178047.5,8808915,1.79250621795654
North Carolina,othercashserv,1997,1216753.5,1734897.375,0.882998764514923
North Dakota,othercashserv,1997,157018.65625,223883.671875,1.25797128677368
Ohio,othercashserv,1997,2146527,3060606.75,1.00125813484192
Oklahoma,othercashserv,1997,360390.21875,513859.25,0.544161438941956
Oregon,othercashserv,1997,722751.8125,1030529.375,1.17546808719635
Pennsylvania,othercashserv,1997,3691933.25,5264110.5,1.69430112838745
Rhode Island,othercashserv,1997,192079.671875,273875.125,1.06742715835571
South Carolina,othercashserv,1997,555275.6875,791735,0.747644901275635
South Dakota,othercashserv,1997,115462.2109375,164630.78125,0.754944682121277
Tennessee,othercashserv,1997,916637.25,1306979.25,0.910005033016205
Texas,othercashserv,1997,2244445,3200222.25,0.537824809551239
Utah,othercashserv,1997,331553.3125,472742.40625,0.634602129459381
Vermont,othercashserv,1997,112815.1328125,160856.46875,1.01596343517303
Virginia,othercashserv,1997,1150463,1640377.625,0.924965679645538
Washington,othercashserv,1997,982083.5625,1400295.25,0.902599275112152
West Virginia,othercashserv,1997,171251.265625,244177.125,0.548021793365479
Wisconsin,othercashserv,1997,1354753.625,1931663.625,1.34443473815918
Wyoming,othercashserv,1997,60951.80859375,86907.6015625,0.610079109668732
Alabama,SNAP,1997,200339.28125,285652,0.240596055984497
Alaska,SNAP,1997,28513.375,40655.546875,0.206495970487595
