state,expenditure,year,raw,inf_adj,inf_adj_perchild
New York,othercashserv,1997,6178047.5,8808915,1.792506218
North Carolina,othercashserv,1997,1216753.5,1734897.375,0.882998765
North Dakota,othercashserv,1997,157018.6563,223883.6719,1.257971287
Ohio,othercashserv,1997,2146527,3060606.75,1.001258135
Oklahoma,othercashserv,1997,360390.2188,513859.25,0.544161439
Oregon,othercashserv,1997,722751.8125,1030529.375,1.175468087
Pennsylvania,othercashserv,1997,3691933.25,5264110.5,1.694301128
Rhode Island,othercashserv,1997,192079.6719,273875.125,1.067427158
South Carolina,othercashserv,1997,555275.6875,791735,0.747644901
South Dakota,othercashserv,1997,115462.2109,164630.7813,0.754944682
Tennessee,othercashserv,1997,916637.25,1306979.25,0.910005033
Texas,othercashserv,1997,2244445,3200222.25,0.53782481
Utah,othercashserv,1997,331553.3125,472742.4063,0.634602129
Vermont,othercashserv,1997,112815.1328,160856.4688,1.015963435
Virginia,othercashserv,1997,1150463,1640377.625,0.92496568
Washington,othercashserv,1997,982083.5625,1400295.25,0.902599275
West Virginia,othercashserv,1997,171251.2656,244177.125,0.548021793
Wisconsin,othercashserv,1997,1354753.625,1931663.625,1.344434738
Wyoming,othercashserv,1997,60951.80859,86907.60156,0.61007911
Alabama,SNAP,1997,200339.2813,285652,0.240596056
Alaska,SNAP,1997,28513.375,40655.54688,0.20649597
Arizona,SNAP,1997,180363.0625,257169.0938,0.197318614
Arkansas,SNAP,1997,101938.0391,145347.4688,0.202318832
California,SNAP,1997,1477317.375,2106420,0.22036618
Colorado,SNAP,1997,93925.39844,133922.7031,0.123439372
Connecticut,SNAP,1997,86500.67969,123336.2344,0.14429678
Delaware,SNAP,1997,22563.57227,32172.07227,0.163392127
District of Columbia,SNAP,1997,47987.23438,68422.17969,0.538494408
Florida,SNAP,1997,519976.5938,741404.0625,0.201398224
Georgia,SNAP,1997,310446.9063,442648,0.206387237
Hawaii,SNAP,1997,91215.96094,130059.4766,0.400920689
Idaho,SNAP,1997,27309.61328,38939.17188,0.10247501
Illinois,SNAP,1997,480673.4375,685364,0.202115089
Indiana,SNAP,1997,135642.5469,193404.7344,0.11877133
Iowa,SNAP,1997,60053.35938,85626.55469,0.110485166
Kansas,SNAP,1997,55899.55078,79703.88281,0.107268006
Kentucky,SNAP,1997,170579.3594,243219.0938,0.229355469
Louisiana,SNAP,1997,268429.125,382737.3125,0.291890711
Maine,SNAP,1997,42339.08203,60368.80859,0.187330097
Maryland,SNAP,1997,164534.4688,234600.0313,0.169495836
Massachusetts,SNAP,1997,136892.8281,195187.4375,0.125454292
Michigan,SNAP,1997,337462.6563,481168.1875,0.176714972
Minnesota,SNAP,1997,94169.27344,134270.4375,0.10071668
Mississippi,SNAP,1997,153492.4063,218855.8125,0.266547233
Missouri,SNAP,1997,199955.2656,285104.4688,0.190293044
Montana,SNAP,1997,27097.35938,38636.53125,0.15663819
Nebraska,SNAP,1997,36922.61719,52645.78906,0.110752568
Nevada,SNAP,1997,37403,53330.74219,0.114748746
New Hampshire,SNAP,1997,16840.74805,24012.23242,0.075431883
New Jersey,SNAP,1997,228915.8125,326397.5938,0.15344052
New Mexico,SNAP,1997,89904.76563,128189.9219,0.236694872
New York,SNAP,1997,808804.5,1153226.875,0.234667525
North Carolina,SNAP,1997,231889.25,330637.25,0.168282151
North Dakota,SNAP,1997,14093.73145,20095.42383,0.1129134
Ohio,SNAP,1997,351871.375,501712.7188,0.164132133
Oklahoma,SNAP,1997,124945.7422,178152.7969,0.188658431
Oregon,SNAP,1997,94287.83594,134439.4844,0.153347716
Pennsylvania,SNAP,1997,408254.6875,582106.375,0.187356144
Rhode Island,SNAP,1997,36812.49219,52488.76953,0.204574764
South Carolina,SNAP,1997,144627.9219,206216.4531,0.194732681
South Dakota,SNAP,1997,20468.97266,29185.50586,0.133835495
Tennessee,SNAP,1997,218793.5469,311964.875,0.217210487
Texas,SNAP,1997,993436.0625,1416482.125,0.238051981
Utah,SNAP,1997,42434.54297,60504.92188,0.081220873
Vermont,SNAP,1997,16637.39844,23722.28906,0.14982909
Virginia,SNAP,1997,182829.5,260685.8438,0.146993876
Washington,SNAP,1997,178949.25,255153.2188,0.164466113
West Virginia,SNAP,1997,97777.21094,139414.7813,0.312897176
Wisconsin,SNAP,1997,88407.6875,126055.3281,0.087734304
Wyoming,SNAP,1997,12148.45898,17321.77344,0.121596411
Alabama,socsec,1997,276733.3637,394577.8438,0.332341015
Alaska,socsec,1997,30713.22195,43792.17969,0.222427428
Arizona,socsec,1997,201307.3825,287032.375,0.220231861
